rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,split_2,split_2_rank,split_3,split_3_rank,split_4,split_4_rank,sector_1,sector_1_rank,sector_2,sector_2_rank,sector_3,sector_3_rank,sector_4,sector_4_rank,sector_5,sector_5_rank
1,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,55.634,3,4:04.264,+0.000,250,0:46.594,1,2:35.483,1,3:10.129,1,3:40.191,1,00:46.594000,1.0,01:48.889000,1.0,00:34.646000,6.0,00:30.062000,3.0,00:24.073000,10
2,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,56.031,2,4:06.104,+1.840,210,0:47.178,3,2:37.725,3,3:12.095,2,3:41.990,2,00:47.178000,3.0,01:50.547000,3.0,00:34.370000,2.0,00:29.895000,2.0,00:24.114000,13
3,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,55.278,6,4:06.253,+1.989,180,0:47.186,4,2:37.321,2,3:12.284,3,3:42.414,3,00:47.186000,4.0,01:50.135000,2.0,00:34.963000,10.0,00:30.130000,4.0,00:23.839000,2
4,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,54.718,9,4:07.353,+3.089,160,0:47.615,8,2:38.269,4,3:12.667,4,3:43.253,4,00:47.615000,7.0,01:50.654000,4.0,00:34.398000,3.0,00:30.586000,9.0,00:24.100000,11
5,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,54.857,8,4:07.943,+3.679,140,0:46.795,2,2:38.956,5,3:13.710,5,3:44.059,5,00:46.795000,2.0,01:52.161000,8.0,00:34.754000,9.0,00:30.349000,8.0,00:23.884000,4
6,P,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,55.420,5,4:08.135,+3.871,125,0:47.258,5,2:40.333,9,3:14.762,7,3:44.528,6,00:47.258000,5.0,01:53.075000,13.0,00:34.429000,4.0,00:29.766000,1.0,00:23.607000,1
7,,38,WILLIAMSON Greg,MADISON SARACEN FACTORY TEAM,10006909111,GBR,1992,56.397,1,4:09.075,+4.811,110,0:47.931,12,2:39.318,6,3:14.978,10,3:45.126,7,00:47.931000,11.0,01:51.387000,5.0,00:35.660000,17.0,00:30.148000,5.0,00:23.949000,7
8,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,55.208,7,4:09.361,+5.097,95,0:48.105,14,2:39.657,7,3:14.668,6,3:45.480,9,00:48.105000,13.0,01:51.552000,6.0,00:35.011000,11.0,00:30.812000,12.0,00:23.881000,3
9,P,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,53.798,13,4:09.433,+5.169,80,0:48.066,13,2:39.945,8,3:15.203,12,3:45.373,8,00:48.066000,12.0,01:51.879000,7.0,00:35.258000,14.0,00:30.170000,6.0,00:24.060000,9
10,,18,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,53.532,18,4:10.117,+5.853,75,0:47.806,9,2:40.369,11,3:14.946,9,3:46.006,11,00:47.806000,8.0,01:52.563000,11.0,00:34.577000,5.0,00:31.060000,18.0,00:24.111000,12
11,,12,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,52.269,25,4:10.532,+6.268,71,0:47.270,6,2:40.767,13,3:14.793,8,3:45.739,10,00:47.270000,6.0,01:53.497000,15.0,00:34.026000,1.0,00:30.946000,14.0,00:24.793000,21
12,,14,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,55.598,4,4:10.570,+6.306,68,0:47.873,10,2:40.914,14,3:16.385,14,3:46.599,13,00:47.873000,9.0,01:53.041000,12.0,00:35.471000,15.0,00:30.214000,7.0,00:23.971000,8
13,,23,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,54.580,10,4:10.726,+6.462,65,0:47.897,11,2:40.348,10,3:15.060,11,3:46.195,12,00:47.897000,10.0,01:52.451000,10.0,00:34.712000,8.0,00:31.135000,20.0,00:24.531000,19
14,P,6,KERR Bernard,PIVOT FACTORY RACING,10006413094,GBR,1991,54.580,10,4:11.372,+7.108,63,0:48.269,16,2:40.485,12,3:16.370,13,3:47.008,14,00:48.269000,15.0,01:52.216000,9.0,00:35.885000,21.0,00:30.638000,11.0,00:24.364000,18
15,,118,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,53.202,20,4:11.725,+7.461,60,0:48.624,19,2:42.122,15,3:16.797,15,3:47.420,15,00:48.624000,18.0,01:53.498000,16.0,00:34.675000,7.0,00:30.623000,10.0,00:24.305000,17
16,,126,WILSON Reece,TREK FACTORY RACING GRAVITY,10009563271,GBR,1996,53.665,16,4:13.376,+9.112,58,0:48.800,21,2:42.288,16,3:17.386,16,3:48.366,16,00:48.800000,20.0,01:53.488000,14.0,00:35.098000,12.0,00:30.980000,16.0,00:25.010000,24
17,,32,MEIER-SMITH Remy *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212427,AUS,2004,54.305,12,4:14.591,+10.327,56,0:48.484,18,2:43.338,18,3:19.560,18,3:50.648,18,00:48.484000,17.0,01:54.854000,17.0,00:36.222000,23.0,00:31.088000,19.0,00:23.943000,6
18,,22,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,52.269,25,4:14.592,+10.328,54,0:48.449,17,2:43.330,17,3:18.435,17,3:49.923,17,00:48.449000,16.0,01:54.881000,18.0,00:35.105000,13.0,00:31.488000,22.0,00:24.669000,20
19,,43,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,53.631,17,4:16.370,+12.106,52,0:49.421,27,2:45.085,20,3:21.189,20,3:52.194,19,00:49.421000,26.0,01:55.664000,20.0,00:36.104000,22.0,00:31.005000,17.0,00:24.176000,14
