rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,split_2,split_2_rank,split_3,split_3_rank,split_4,split_4_rank,sector_1,sector_1_rank,sector_2,sector_2_rank,sector_3,sector_3_rank,sector_4,sector_4_rank,sector_5,sector_5_rank
1,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,55.881,26,3:05.146,+0.000,100,0:32.757,4,1:16.415,1,1:54.405,2,2:32.866,1,00:32.757000,4.0,00:43.658000,1.0,00:37.990000,5.0,00:38.461000,2.0,00:32.280000,2
2,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,59.232,1,3:05.905,+0.759,80,0:32.209,2,1:16.434,2,1:53.415,1,2:32.886,2,00:32.209000,2.0,00:44.225000,4.0,00:36.981000,1.0,00:39.471000,7.0,00:33.019000,12
3,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,56.446,13,3:06.132,+0.986,70,0:32.466,3,1:16.612,4,1:55.072,3,2:34.147,4,00:32.466000,3.0,00:44.146000,3.0,00:38.460000,16.0,00:39.075000,5.0,00:31.985000,1
4,,28,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,54.711,46,3:06.497,+1.351,65,0:32.049,1,1:16.540,3,1:55.339,4,2:33.859,3,00:32.049000,1.0,00:44.491000,10.0,00:38.799000,28.0,00:38.520000,3.0,00:32.638000,5
5,P,19,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,56.446,13,3:08.427,+3.281,60,0:33.379,16,1:17.795,7,1:56.233,7,2:35.342,5,00:33.379000,16.0,00:44.416000,7.0,00:38.438000,15.0,00:39.109000,6.0,00:33.085000,13
6,P,12,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,55.271,37,3:09.067,+3.921,58,0:32.929,7,1:18.290,16,1:57.394,22,2:35.691,6,00:32.929000,7.0,00:45.361000,27.0,00:39.104000,39.0,00:38.297000,1.0,00:33.376000,21
7,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,56.485,9,3:09.117,+3.971,56,0:32.826,5,1:17.939,9,1:56.189,6,2:35.753,7,00:32.826000,5.0,00:45.113000,18.0,00:38.250000,9.0,00:39.564000,9.0,00:33.364000,20
8,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,56.407,17,3:09.555,+4.409,54,0:33.271,12,1:17.740,6,1:56.576,11,2:36.723,12,00:33.271000,12.0,00:44.469000,9.0,00:38.836000,29.0,00:40.147000,21.0,00:32.832000,8
9,,34,DAPRELA Thibaut,N/A,10072798480,FRA,2001,56.055,23,3:09.579,+4.433,52,0:33.259,10,1:18.058,12,1:56.802,14,2:36.715,11,00:33.259000,10.0,00:44.799000,13.0,00:38.744000,27.0,00:39.913000,15.0,00:32.864000,9
10,,6,KERR Bernard,PIVOT FACTORY RACING,10006413094,GBR,1991,55.065,42,3:09.582,+4.436,50,0:33.740,31,1:18.493,18,1:57.170,17,2:37.233,16,00:33.740000,31.0,00:44.753000,12.0,00:38.677000,22.0,00:40.063000,17.0,00:32.349000,3
11,,47,KIEFER Henri *,CANYON CLLCTV PIRELLI,10080400048,GER,2005,55.537,32,3:09.662,+4.516,49,0:33.533,21,1:17.948,10,1:56.418,8,2:36.208,9,00:33.533000,21.0,00:44.415000,6.0,00:38.470000,17.0,00:39.790000,12.0,00:33.454000,24
12,,23,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,56.683,7,3:09.850,+4.704,48,0:33.306,14,1:17.220,5,1:55.935,5,2:36.079,8,00:33.306000,14.0,00:43.914000,2.0,00:38.715000,25.0,00:40.144000,20.0,00:33.771000,33
13,,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,55.290,36,3:10.059,+4.913,47,0:33.394,18,1:18.110,14,1:56.768,13,2:36.745,13,00:33.394000,18.0,00:44.716000,11.0,00:38.658000,19.0,00:39.977000,16.0,00:33.314000,18
14,,36,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,56.094,22,3:10.133,+4.987,46,0:32.896,6,1:17.857,8,1:56.701,12,2:36.535,10,00:32.896000,6.0,00:44.961000,15.0,00:38.844000,31.0,00:39.834000,13.0,00:33.598000,28
15,,24,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,55.939,24,3:10.149,+5.003,45,0:33.269,11,1:18.774,21,1:57.894,26,2:37.763,20,00:33.269000,11.0,00:45.505000,32.0,00:39.120000,40.0,00:39.869000,14.0,00:32.386000,4
